Group Code,PT Code,PR Code,School Name,Address,District,State,Pin Code,Phone,Email,Website,"Action
",Remark,Academic Year,Strength,Board Type,Session Start From,Minority Type,Saturday Status,Working Status 
,,PR00018,"Army Public School, Trivandrum",Pangodu,Thiruvananthapuram,Kerala,695006,"47,123,582,429,446,300,000",apstrivandrum@awesindia.edu.in,https://armyschooltrivandrum.in//Contact,CBD,,,,,,,,
,PT0023,PR00019,"Army Public School, Ahmednagar","A C Centre And School, Jamkhed Road",Ahmednagar,Maharashtra,414002,8956048351, apsahmednagar01[at]gmail[dot]com,https://www.apsahmednagar.com/,CBD,,,,CBSE,,,,
,,PR00020,"Army Public School, Pune","Ghorpadi Rd, Opp Bank of Maharashtra, Ghorpuri Lines, Dobarwadi, Ghorpadi",Pune,Maharashtra,411001, 020 2999 0101,apspune01[at]gmail[dot]com,https://www.apspune.com/contact,CBD,,,,,,,,
,,PR00021,"Army Public School, Dehu Road","Ashok Nagar, Dehu Road",Pune,Maharashtra,412101,8390 6005 510,office@apsdehuroad.in,https://www.apsdehuroad.in,CBD,,,,,,,,
,,PR00022,"Army Public School, Jodhpur","Ajmer Road, near Fol Depot",Jodhpur,Rajasthan,342010,"0291-2510559, 9414005442, 9414005443",apsjodhpur1992@gmail.com,www.apsjodhpur.com,CBD,,,,,,,,
,,PR00023,"Army Public School,Hisar","Army Public School, Hisar Cantt",Hisar,Haryana,125006,0166 232 3800,hisaraps[at]gmail[dot]com,https://www.apshisar.com/,CBD,,,,,,,,
,,PR00024,"Army Public School, Jaipur","Military Station, Hasanpura",Jaipur,Rajasthan,302012,1412249168,armypublicschooljaipur@gmail.com,www.apsjaipur.edu.in,CBD,,,,,,,,
,,PR00025,"Army Public School, Suratgarh","Sector 6 Flyover, Sector 7",Karnal,Haryana,132001,01509-298316,apssuratgarh@gmail.com,http://www.apssuratgarh.com,CBD,,,,,,,,
,,PR00026,"Army Public School, Fazilka","FAZILKA MILITARY STATION
FAZILKA",Fazilka,Punjab,152123,01638-264831,apsfazilka@gmail.com,"
https://apsfazilka.ac.in/home.htm",CBD,,,,CBSE,,,,
,PT0084,PR00027,"Army Public School, Chandraloke",APS Kalimpong,Darjeeling,West Bengal,734301,03552 - 283647,armyschoolkalimpong@gmail.com,https://apskalimpong.org,Implement,,2018-19,,CBSE,,,,
,,PR00028,"Army Public School, Sukna",Sukna Forest,Darjeeling,West Bengal,734223,"91 353 2573419
91 353 2573420
91 353 2573419",armyschoolsukna@gmail.com,http://www.apssukna.com,CBD,,,,,,,,
,,PR00029,"Army Public School, Darjeeling","KATA PAHAR P.O, Ghoom",Darjeeling,West Bengal,734102, 0354 200 5692,NA,X,CBD,,,,,,,,
,,PR00030,"Army Public School, Akhnoor","Usman Vihar, Post Office Ambaran",Jammu,Jammu & Kashmir,181206, 01924-295207,apsakhnoor12[at]gmail[dot]com,,Visit,,,,,,,,
,,PR00031,"Army Public School, Nagrota","Nagrota, P.O. Kandoli, Jammu, Jammu & Kashmir",Jammu,Jammu & Kashmir,181221,0191-2956469,apsnagrota@gmail.com,http://www.apsnagrota.in,CBD,,,,,,,,
,PT0163,PR00032,The Yenepoya School,"NH-17, Near Pegasus Bar & Restaurant, Jappinamogaru",Dakshina Kannada,Karnataka,575009,0824 2241846 / 0824 2241864 / 9900197062,yenepopyaschool@gmail.com,https://www.theyenepoyaschool.com/,Visit,,2019-20,1200,CBSE,,,,
,,PR00033,Alpine Academy,"Sch. 97, Part 4, Vigyan Nagar, Annapurna Road",Indore,Madhya Pradesh,452012,0731-4074211,alpineacademyindore@gmail.com,http://alpineacademy.in/,Visit,dir kamleen s chauhan-9425052122,,1500,CBSE,,,,Yes
,,PR00034,Pothens Public School,"Piwday Main Road ,Piwday P.O",Indore,Madhya Pradesh,452001,X,ppsindore@rediffmail.com,X,CBD,,,,,,,,
,,PR00035,New Era Public Academy,"MR 10, Scheme No.54, Vijay Nagar, Near Power House, Bapat Square, Bhanvarkuan, Scheme Number 54, Vijay Nagar",Indore,Madhya Pradesh,452010, 0731 404 0209,infonepa98@gmail.com,https://newerapublicacademy.org/gallery/,Visit,,,900,MP Board,,,,
,,PR00036,Garima Vidya Vihar Sr. Sec. School,"Airport Road Paul Hill, opp. Bijasan Mata Temple",Indore,Madhya Pradesh,452005,"0731-2635000,2623900
7049494919","garimavvcbse@gmail.com 
info@garimaschool.com",http://www.garimaschool.com,Visit,,,2000,CBSE,,,,
,,PR00037,St. Raphaelâ€™s Higher Secondary School,"15, Old Sehore Road",Indore,Madhya Pradesh,452001,0731 2702611,Stradmn1928@Yahoo.Co.In,X,CBD,,,4200,CBSE,,,,Yes
,,PR00038,Maa Umiya Patidar Girls H.S.School,"umiyadham, Rangwasa Rd, near nakharali dhani, Rau",Indore,Madhya Pradesh,453331,91110 19683-84,Principal@mupkvrau.org,X,CBD,,,,,,,,
,,PR00039,Sarafa Vidya Niketan,"MOG Lines, Scheme 71",Indore,Madhya Pradesh,452002,"0731-2341017
0731-2341017, 72240-82288, 72230-82288","svnindore@rediffmail.com
svnhss@rediffmail.com",www.sarafavidyaniketan.com,Visit,,,2000,CBSE,44287,,,
,,PR00040,National Public School,"Airport Rd, Opposite Bijasan Temple, HIlink City",Indore,Madhya Pradesh,452005,"0731-2622114
0731-2620451/262029",npsindore1@rediffmail.com,http//www.npsindore.edu.in,Visit,,,600,CBSE,,,,
,,PR00041,Sandipani Academy Mandleshwar,Maheshwar Road,Mandleshwar,Madhya Pradesh,451221,"7610489296
7610489297",sandiacad@yahoo.co.in,http://www.sandipaniacademy.org,CBD,,,,,,,,
,,PR00042,Sanmati Higher Secondary School,"Residency Area, Doordarshan Kendra, White Church Colony",Indore,Madhya Pradesh,452001,"731-3540000
8959289398",mail.sanmatischool@gmail.com,http://sanmatischool.org,Visit,,,1000,CBSE,,,,Yes
,,PR00043,Sri Sri Ravishankar Vidya Mandir Indore,"Sri Sri Ravishankar Vidya Mandir Village Sanawadia, Behind Devkuradiya Temple, Nemavar Road",Indore,Madhya Pradesh,452016,"8889010888, 07312863100, 07312863300",indore@ssrvm.org,https://indore.ssrvm.org,CBD,,,,,,,,
,,PR00044,Akshat International School,"22/2, VILL. LALPUR, NAGJHIRI, DEWAS ROAD",Indore,Madhya Pradesh,,"7489421777 , 0734-2525909
0734-2525028",akshatinternationalujjain@gmail.com,https://akshatinternationalujjain.com,CBD,,,,,,,,
,,PR00045,"Chhatrapati Shivaji Public School, Usha Nagar",Usha Nagar,Indore,Madhya Pradesh,452009,"731-2483865, 731-4246960",chhatrapati.ushanagar@rediffmail.com,www.chhatrapatishivajipublicschool.com,CBD,,,,,,,,
,,PR00046,Queens' College,"Khandwa Rd, Opp New Rani Bagh",Indore,Madhya Pradesh,452020,"91 2877755, 2877766, 2877777",queenscollegeindore@rediffmail.com,https://queenscollegeindore.org,Visit,,,,,,,,Yes
GS0091,,PR00047,Maharishi Vidya Mandir,"Industrial Area, Rau",Indore,Madhya Pradesh,453331,9399035361,mvmindore@mssmail.org,http://mvmindore.org,Visit,,,500,CBSE,,,,
,PT0791,PR00048,"Prestige Public School,","Sector-D, Scheme No 74C, Vijay Nagar",Indore,Madhya Pradesh,452010,"0731- 4016666, 4016602, 4016625","prestigepublicschool@ymail.com
info@prestigeschool.org",http://www.prestigeschool.org,Visit,sheena- 9826810193,2022-23,2500,CBSE,,,,Yes
GS0182,PT0873,PR00049,Marthoma Academy,"Near Prestige College, Scheme 114 Part-1, Scheme No.54, Vijay Nagar",Indore,Madhya Pradesh,452010,(0731) 2551246,marthomaacademy14@gmail.com,https://www.marthomaschoolsindore.org,Visit,,2022-23,861,CBSE,,,,
,PT0448,PR00050,Colonel's Academy,"51, Silver Oaks Estate, Bercha Road",Indore,Madhya Pradesh,453441,"8770710797, 07324 271286",info@colonelsacademy.com,http://synergysmartsol.com,Implement,,2020-21,1500,CBSE,,,,
,,PR00051,"International public School
","RHQ7+X8X, Kurali Bypass Rd,",Kurali,Punjab,140103,x,x,x,Visit,,,,,,,,
,,PR00052,"Bal Vinay Mandir Chhatribagh, Indore","30, Kagdipura Road, Chhatribagh",Indore,Madhya Pradesh,452007,"0731-2349021, 2342688",shreebalvinaymandir@gmail.com,http://sbvmchhatribagh.com,CBD,,,,,,,,
,,PR00053,VIdyasagar School,"Pragati Vihar, Indore, Madhya Pradesh 452016",Indore,Madhya Pradesh,452016,731-2492431,vidyasagar_indore@yahoo.co.in,http://vidyasagarschool.org,Visit,,,1200,CBSE,,,,Yes
,,PR00054,Sideras International School,"Near Vikrant College, Borkhedi",Indore,Madhya Pradesh,453446,8989056789,schoolsideras@gmail.com,http://siderasinternationalschool.com,Visit,,,,,,,,
,,PR00055,L. G. Academy,"CAT - Rao Road, Near Treasure Colony",Indore,Madhya Pradesh,453331,"94254-00099
98939-09123
98266-56249
82690-06659",lg@lgacademy.org,http://lgacademy.org,CBD,,,,,,,,
,,PR00056,Sahoday Convent Public School,Badoli Hoj,Indore,Madhya Pradesh,453115,X,NA,X,CBD,,,,,,,,
,,PR00057,The Vedaant International School,"Near Bypass Road, Bicholi Mardana",Indore,Madhya Pradesh,452016,X,NA,X,CBD,,,,,,,,
,,PR00058,Rajeshwar Hr. Sc. School,"Bunglow No.141 Bakery road, Dr. Ambedkar Nagar",Indore,Madhya Pradesh,453441,X,NA,X,Visit,"Strenght - 2000
(7880099367)",,2000+,CBSE,April ( shifts too),apuchin fathers of catholic mission of Ajmer,,Yes
,,PR00059,The South Indian Cultural Association Senior Secondary School No-3,"Indore, Hare Krishna Vihar, Nipania",Indore,Madhya Pradesh,452010,0731-297425,sicaschoolnipania@gmail.com,X,Visit,,,,CBSE,,,,
,,PR00060,Chameli devi Public School,"103, Keshar Bagh Rd, Kesar Bag Colony, Tejpur Gadbadi",Indore,Madhya Pradesh,452012,0731 421 2999,info@cpsindore.com,http://www.cpsindore.com,CBD,,,7000,CBSE,,,,Yes
,,PR00061,Agarwal Public School,Bicholi Mardana,Indore,Madhya Pradesh,452016,"7314212666
7314212611",info@apsindore.com,www.apsindore.com,CBD,,,,,,,,
,PT0276,PR00062,"The South Indian Cultural Association Senior Secondary school, Sch No.78","Scheme Number 78, Aranya Nagar, Vijay Nagar",Indore,Madhya Pradesh,452010,"731 2577254, 2577271","info@sicaschool.org
sica78@sicaschool.org",www.sicaschool78.org,Implement,,2019-20,3000+,CBSE,44621,,,
,,PR00063,Itma Vidya Niketan,"15, Slice 5, Aranya Nagar, Vijay Nagar",Indore,Madhya Pradesh,452010,X,NA,X,CBD,,,1500,,,,,Yes
,,PR00064,Little Flower Hr. Sec. School,"Pushpa Nagar, Khajrana Main Rd, Shree Nagar Ext, Priyadarshini",Indore,Madhya Pradesh,452010,X,littleflowerindore@rediffmail.com,https://littleflowerindore.com,CBD,,,1200,,,,,
,,PR00065,The Millenium School,"Halka No.13, A.B.Bypass, Phase II, Nayta Mundla",Indore,Madhya Pradesh,452023,91-9575554444 / 3333,Headschools.indore@themillemiumschool.com,www.themillenniumschools.com,Visit,,,1000,CBSE,,,,
,,PR00066,Golden International School,"CAT Rd, Industrial Area, Rau",Indore,Madhya Pradesh,453331,X,contact@gisindore.in,X,Visit,,,,,,,,
,PT0199,PR00067,Jolly Memorial School,"Ganga Singh Colony, Gopalpura",Ujjain,Madhya Pradesh,456010,"0734-2510176, 0734-2981237",jmmhsujjain@gmail.com,https://jollymemorialmissionschoolujjain.com,Implement,,2019-20,,CBSE,,,,
,,PR00068,South Valley International School,"Salampur, Betma, Madhya Pradesh 453001",Betma,Madhya Pradesh,453001,"9302254879, 9302254871,9425902687",southvalley2007@gmail.com,http://www.southvalley.in,CBD,,,1200,CBSE,,,,
GS0182,,PR00069,Marthoma Hr.Sec.School,"Part I, Scheme No 114",Indore,Madhya Pradesh,452010,X,marthomahs@yahoo.com,http://www.marthomaschoolsindore.org,Visit,3 Schools,,2000,CBSE,,,,
,PT0325,PR00070,"SICA Sr Secondary School, No.-02","R B H, behind SIca School, Scheme No 54",Indore,Madhya Pradesh,452010,"0731- 2550985, 2558176",sica54@sicaschool.org,www.sicaschool54.org,Visit,9826033462,2019-20,7000,CBSE,44621,,,Yes
,,PR00071,Advanced Academy,"Nipania Road, ISKCON Vihar Colony, Hare Krishna Vihar, Nipania",Indore,Madhya Pradesh,452016,9827720868,"advancedindore@gmail.com
aadvaned@ymail.com",http://www.advancedacademyindore.com,Visit,mr mandi-9926626603,,2000,CBSE,,"one of the prestigious school, Indore",,Yes
,,PR00072,Shri Cloth Market Vaishnav Bal Mandir Girls School,"Vidya Parisar, No. 177, Dhar Rd, Raj Mohalla",Indore,Madhya Pradesh,452002,"0731-2349116, 2340351",scmvbm@yahoo.in,http://scmvbm.edu.in,Visit,,,3000,CBSE,,,,Yes
,,PR00073,Kids college,"218, Dharnawad Dhar Road, Indore",Dharnawad,Madhya Pradesh,453001,9826374446,kidscollege.school@gmail.com,https://www.yayskool.com,CBD,,,,,,,,
,PT0397,PR00074,St. Mary's Higher Secondary School,"Post Office Road,Indore, Dr. Ambedkar Nagar",Indore,Madhya Pradesh,453441,"7324-272002
7324-272003
7324-271030",stmarysmhow@gmail.com,www.stmaryschoolmhow.ac.in,Implement,,2020-21,2000,CBSE,,Managed by Franciscan Sisters of St. Mary of the Angels(FSMA).,,
,,PR00075,Shri Vaishnav Academy,"177, Jawahar Marg, North Rajmohalla, Raj Mohalla",Indore,Madhya Pradesh,452002,"731-2349115, 9770907727, 9770907726",vaishanavacademy@rediffmail.com,https://sva.ac.in,No Visit,,,,,,,,
,,PR00076,The school adayar,"Unnamed Road, Ambedkar Nagar, Perungudi",Chennai,Tamil Nadu,600078,X,NA,X,Visit,,,,,,,,
,,PR00077,St Patricks high School,"1st Cres Park Rd, Gandhi Nagar, Adyar",Chennai,Tamil Nadu,600020,"044-24420209
24454794,24454790",school_patricks@yahoo.co.in,https://www.stpatricksschool.in,No Visit,,,1000,,,,,
GS0218,,PR00078,"Mother's Pet Kindergarten school , Sadar","Opp. NMC Mangalwari Zone, Sadar Chhaoni, Nagpur 440001, Maharashtra",Nagpur,Maharashtra,440001,9699718779,mpksadar@motherspet.in,https://motherspet.com/contact-us.html,Visit,,,,CBSE,,,,
,,PR00079,Bala vidhya mandhir,"BVM School Ground, B Ramachandra Adithanar Rd, Gandhi Nagar, Adyar",Chennai,Tamil Nadu,600020,"91-44-2442 4446
91-44-2442 4445",infobvmadyar@gmail.com,http://balavidyamandir.com,No Visit,,,,,,,,YES
,,PR00080,Besent arundale as school,"Venkateshwara Bakery, 71, 51, Kamaraj Salai, Lakshmipuram, Radhakrishnan Nagar, Thiruvanmiyur",Chennai,Tamil Nadu,600041,X,NA,X,Visit,,,,,,,,YES
,,PR00081,Hindu senior secondary school,"83, big Street, Triplicane",Chennai,Tamil Nadu,600005,044-28443312,hssstriplicane@gmail.com,https://hinduseniortriplicane.com,Visit,,,1800,CBSE,,,,YES
,,PR00082,Swamy's School,"Plot No 23 To 29, 41 To 49, Rajeswari Street, Santhosh Nagar, Madanandapuram",Chennai,Tamil Nadu,600125,"044 24826000, 044 24826001",contact@swamysschool.com,Http//Pushpanjali.Swamysschool.Com/,Visit,,,1800,CBSE,,,,
,,PR00083,Vani vidhyalaya,"India Gated Community, 31, Vembuliamman Koil St, Annaji Nagar, KK Nagar West, Pazhavanthangal",Chennai,Tamil Nadu,600114,X,NA,X,Visit,,,,,,,,YES
,,PR00084,Padma seshadri bala bhavan,"Alagirisamy Salai, Sector 7, KK Nagar, Chennai",Chennai,Tamil Nadu,600083,x,NA,X,Visit,,,,,,,,YES
,,PR00085,Krishnasamy mhss,"278, Lakshmanaswamy Salai, Ponnambalam Colony, Sector 6, KK Nagar",Chennai,Tamil Nadu,600083,X,NA,X,Visit,,,,,,,,YES
,,PR00086,Spring Field Matriculation higher secondary school,"Alagirisamy Salai, Sector 7, KK Nagar",Chennai,Tamil Nadu,600083,044 -24741541,mail:springfieldschool1975@gmail.com,http://www.springfieldmatricschoolchennai.com,Visit,,,,,,,,
,,PR00087,Mariya Nivas Matriculation higher secondary school,"tshirts, 44, 103rd St, Ottagapalayam, Sector 14, KK Nagar",Chennai,Tamil Nadu,600026,044 2263 0030,"info@example1.com
info@example2.com",http://maryanivasschool.com,Visit,,,,,,,,
,,PR00088,St Dominic Anglo Indian school,"Unnamed Road, Velachery",Chennai,Tamil Nadu,600042,044-2234-3778,stdominics1901@gmail.com,https://www.stdominics.co.in,No Visit,,,,,,,,
,,PR00089,National matriculation higher secondary school,"RaKa Technologies, #1/36 C, North Lane Road, Saint Thomas Mount, Chakrapani Colony, St Thomas Mount",Chennai,Tamil Nadu,600016,044-22501944 / 22501491,"alphonsemaria@yahoo.com
empeenmhss@yahoo.in",http://www.nationalmatric.com,Visit,,,900,Matriculation,,,,
,,PR00090,Marian matriculation higher secondary school,"4/6A, St Thomas Mount, Near National Shrine, Parangi Malai, St Thomas Mount",Chennai,Tamil Nadu,600016,4422342008,NA,X,Visit,,,,,,,,
,,PR00091,Amirtha vidhyalaya,"St Ann's Matric School Rd, Thiripurasundari Avenue, Madhanandapuram",Chennai,Tamil Nadu,600116,044 2482 6728,stannsschoolchennai@gmail.com,https://www.stannsporur.com,Visit,,,,,,,,YES
,,PR00092,M.A.K Matriculation Higher Secondary School,"125, Jafferkhanpet, Kabilar Street, Ashok Nagar",Chennai,Tamil Nadu,600083,X,NA,X,Visit,,,,,,,,YES
GS0218,,PR00093,"Mother's Pet Kindergarten school ,Wardhaman Nagar","Wardhaman Nagar, Post Kalamna, Nagpur 440035, Maharashtra",Nagpur,Maharashtra,440035,7770016618,mpkwnagar@motherspet.in,https://motherspet.com/contact-us.html,Visit,,,,CBSE,,,,
,,PR00094,Velankani matriculation higher secondary school,"41st Street, Sarvamangala Colony, Anugragha Colony, Ashok Nagar",Chennai,Tamil Nadu,600083,"044 24891313
044 23711231",Support@vmhss.org,http://vmhss.org,Visit,,,,,,,,YES
,,PR00095,St Xavier's High School,"7Q6Q+4F3, Khandagiri - Chandaka Road, Khordha, India, Bhubaneswar,",Khurda,Odisha,751001,x,x,x,Visit,,,,,,,,
,,PR00096,Little Flower Matriculation Higher Secondary School,"1/1, 3rd Ave, Sarvamangala Colony, Krupa Colony, Ashok Nagar",Chennai,Tamil Nadu,600083,-24894656,NA,X,Visit,,,,State Board,,,,YES
,,PR00097,Pragya girls school,"Purshottam Agarwal Marg, Near Vidya Sagar College, Pragati Vihar, Indore",Indore,Madhya Pradesh,452001,"0731-249-2431
0731-284-7332",info@pragyagirlsschool.com,http://pragyagirlsschool.com,Visit,,Academic year - April,1500,CBSE,,,,Yes
,,PR00098,The Emerald Heights International School,"Opposite Akashwani, A.B. Road, Rau",Indore,Madhya Pradesh,453331,"8720009992 / 93, 91-731-4067536-37,91 6262045305",info@emeraldheights.edu.in,https://emeraldheights.edu.in,Visit,,,2500,CBSE,,,,Yes
,,PR00099,Bosco Academy,"Good Luck Apartment, KKR Garden, Madhavaram,,",Chennai,Tamil Nadu,600118,X,boscoacademy@gmail.com,X,Visit,,,,,,,,YES
,,PR00100,St Anne's matriculation higher secondary school Madavaram,"Madanandaprm, Kanchipuram, Thiripurasundari Avenue, Madhanandapuram",Chennai,Tamil Nadu,600116,044 2482 6728,stannsschoolchennai@gmail.com,https://www.stannsporur.com,Visit,,,2000,CBSE,,,,YES
,,PR00101,Satya Sai School,Scheme No 54,Indore,Madhya Pradesh,452010,X,sai@sathyasaiindore.com,X,Visit,,,2000,CBSE,,,,
,,PR00102,Shri Gujarati Samaj Ajmera Mukesh Nemichandbhai English Medium Schoolâ€�,"Scheme No. 54, A.B. Road, Scheme No 54",Indore,Madhya Pradesh,452010,0731-2557275/ 2552325,"sgsamn@gmail.com
sgsamn@yahoo.com",http://sgsamnschool.org,Visit,,,4000,CBSE,,,,
,,PR00103,Don Bosco Matriculation Higher Secondary School,"27 ETHIRAJSAMY, Koil St, Erukkanchery, Chennai",Chennai,Tamil Nadu,600118,044 2557 2013,donboscoerukkanchery118@gmail.com,http://dberukkancheryfsm.org/,Visit,,,1500+,State board,,,,YES
,,PR00104,Olive tree school,"Unnamed Road, Moolakadai, Vaysarpadi",Chennai,Tamil Nadu,600118,075500 10016,NA,X,Visit,,,,,,,,
,,PR00105,Saint Anthony's Matriculation Higher Secondary School,"Valmiki Nagar, Swaminathan Nagar, Kottivakkam",Chennai,Tamil Nadu,600041,X,NA,X,Visit,,,,,,,,
,,PR00106,Alpha matriculation higher secondary school,"25/12, CIT 1st Main Rd, CIT Nagar West, CIT Nagar",Chennai,Tamil Nadu,600035,"91 - 044 - 2432 3431, 2432 3179.",alphafeedback73@gmail.com,https://www.alphagroup.edu,Visit,,,,,,,,YES
,,PR00107,Ahmedabad International School,"2GM6+8H3, Shidhnath Mahadev Mandir Marg, Bodakdev, Ahmedabad, Gujarat 380054",Ahmedabad,Gujarat,380054,X,contact@aischool.net,X,CBD,,,1000,State,,,,
,PT1116,PR00108,The New Tulip International School,"Sterling City Road, Amidhara Society, Sterling City, Bopal",Ahmedabad,Gujarat,380058,X,info@thenewtulipinternationalschool.com cantact@aischool.net,X,CBD,,2023-24,,"icse, cbse, cambridge and state board.",,,,
,,PR00109,Sebastian Matriculation Higher Secondary School,"No. 2, RC Church Rd, Pallavaram",Chennai,Tamil Nadu,600043,X,sebastianschoolpallavaram@gmail.com,http://www.stsebastianmhsspvm.com,Visit,,,6000,CBSE,,,,
,,PR00110,Delhi Public School,"Bopal Square, Near Bopal Railway Crossing, Bopal",Ahmedabad,Gujarat,380058,"079-68181337
79-68181300 / 68181301 / 68181302 / 68181303 / 68181304",dpsbopal@kalorex.org,https://dpsbopal-ahd.edu.in,Visit,,,6000,CBSE,,,,
,PT0209,PR00111,Khyati World School under the aegis of Amrut Indian School,"Thaltej-Shilaj-Rancherda Road Nr. Nandoli Bus Stand At & Post, Rancharda",Ahmedabad,Gujarat,382115,"079 2657 4354
90992 73000, 90992 72000",Principal@amrutindianschool.com,http://amrutindianschool.com,Visit,,2021-22,450,CBSE,,,,
,,PR00112,Olive Green International School,"Plot No: - 126,127, Ranchhodpura Bhadaj Road, Beside Ahmedabad Dental College, ,",Ahmedabad,Gujarat,380058,9099933804,info@cois.edu.in,https://cois.edu.in,Visit,,,,,,,,
,,PR00113,Utopia School,"Below Sola Bridge, Gulab Tower Road, Thaltej",Ahmedabad,Gujarat,380054,079-27474057,alpanaarora12@gmail.com,https://www.utopiaschool.com,Visit,,,,,,,,
,,PR00114,St Marks Matriculation Higher Secondary School,"30, Ramachandra Rd, Kamaraj Colony, Nehru Nagar, Chromepet",Chennai,Tamil Nadu,600044,X,NA,X,Visit,,,,,,,,
,,PR00115,Holy angel's matriculation higher secondary school,"4, Rangasamy St, Kothadam Nagar, Chromepet",Chennai,Tamil Nadu,600044,X,NA,X,Visit,,,,,,,,YES
,,PR00116,Vishvaniketan Vidyavihar,Near naranpura bus stand,Ahmedabad,Gujarat,380013,8866 00 9922,info@vsas.edu.in,http://www.vishvaniketan.com,Visit,,,,,,,,
,,PR00117,GGN International School,"1, Naidu Shop St, Radha Nagar, Chromepet",Chennai,Tamil Nadu,600044,X,NA,X,Visit,,,,,,,,YES
,PT0190,PR00118,"Kalorex Future School, Ghatlodia",Calrox public school opp- Shivanand flat K K nagar road Ghatlodia,Ahmedabad,Gujarat,380061,"9879058003
7927600932","cpsghatlodia@kalorex.org,
Principal.cpsghatlodia@kalorex.org",https://www.cpsghatlodia.edu.in,Visit,,2019-20,,CBSE,,,,
,,PR00119,Sri Anand Jain vidhyalaya,"Kakkan St, West Tambaram, Tambaram",Chennai,Tamil Nadu,600045,X,NA,X,Visit,,,,,,,,
